player,position,club,nationality,goals,assists,minutes,rating,goals_per_90,assists_per_90,performance_score
Maphosa Modiba,Defender,South Africa,South Africa,0,0,347,7.11,0.0,0.0,1.4220000000000002
Marc Cucurella,Defender,Spain,Spain,0,2,720,7.17,0.0,0.25,1.5090000000000001
Marc Guehi,Defender,England,England,0,0,633,6.06,0.0,0.0,1.212
Marcel Sabitzer,Midfielder,Austria,Austria,1,0,360,7.01,0.25,0.0,1.5270000000000001
Marco Friedl,Defender,Austria,Austria,0,0,23,6.35,0.0,0.0,1.27
Marco Pasalic,Forward,Croatia,Croatia,0,0,98,4.5,0.0,0.0,0.9
Marcos Llorente,Defender,Spain,Spain,0,1,186,7.18,0.0,0.48387096774193544,1.5811612903225805
Marcos Senesi,Defender,Argentina,Argentina,0,0,78,6.69,0.0,0.0,1.338
Marcus Pedersen,Defender,Norway,Norway,1,0,204,6.43,0.4411764705882353,0.0,1.5065882352941178
Marcus Rashford,Forward,England,England,1,1,222,5.83,0.4054054054054054,0.4054054054054054,1.4903243243243245
Marin Pongracic,Defender,Croatia,Germany,0,0,270,6.72,0.0,0.0,1.344
Mario Pašalić,Midfielder,Croatia,Croatia,0,0,121,6.61,0.0,0.0,1.322
Mark McKenzie,Defender,USMNT,USA,0,0,90,6.16,0.0,0.0,1.2320000000000002
Marko Arnautović,Forward,Austria,Austria,2,0,142,6.72,1.267605633802817,0.0,1.9778028169014086
Marko Lawk Farji,Forward,Iraq,Norway,0,0,52,6.62,0.0,0.0,1.324
Marko Stamenic,Midfielder,New Zealand,New Zealand,0,0,270,6.74,0.0,0.0,1.348
Marquinhos,Defender,Brazil,Brazil,0,0,450,7.01,0.0,0.0,1.4020000000000001
Martin Baturina,Midfielder,Croatia,Croatia,1,0,324,7.08,0.2777777777777778,0.0,1.554888888888889
Martin Expérience,Defender,Haiti,France,0,0,270,6.5,0.0,0.0,1.3
Martin Ødegaard,Midfielder,Norway,Norway,0,4,441,7.21,0.0,0.8163265306122448,1.6868979591836737
Marvin Senaya,Defender,Ghana,France,0,0,280,6.97,0.0,0.0,1.3940000000000001
Marwan Attia,Midfielder,Egypt,Egypt,0,1,434,7.01,0.0,0.20737327188940094,1.4642119815668204
Marwane Saadane,Defender,Morocco,Morocco,0,0,3,0.0,0.0,0.0,0.0
Matěj Kovář,Goalkeeper,Czech Republic,Czech Republic,0,0,270,6.46,0.0,0.0,1.292
Mateo Chávez García,Defender,Mexico,Mexico,1,0,78,7.63,1.1538461538461537,0.0,2.102923076923077
Mateo Kovačić,Midfielder,Croatia,Croatia,0,1,272,6.91,0.0,0.33088235294117646,1.4812647058823531
Matheus Cunha,Forward,Brazil,Brazil,3,0,293,7.39,0.9215017064846417,0.0,1.9387508532423208
Mathew Leckie,Forward,Australia,Australia,0,0,61,6.37,0.0,0.0,1.274
Mathías Olivera,Defender,Uruguay,Uruguay,0,0,270,7.04,0.0,0.0,1.4080000000000001
Mathieu Choiniere,Midfielder,Canada,Canada,0,0,58,6.77,0.0,0.0,1.354
Matias Fernandez-Pardo,Forward,Belgium,Belgium,0,0,41,2.23,0.0,0.0,0.446
Matías Galarza Fonda,Midfielder,Paraguay,Paraguay,1,1,360,7.01,0.25,0.25,1.602
Matías Viña,Defender,Uruguay,Uruguay,0,0,46,6.3,0.0,0.0,1.26
Matt Turner,Goalkeeper,USMNT,USA,0,0,90,6.0,0.0,0.0,1.2000000000000002
Mattias Svanberg,Midfielder,Sweden,Sweden,1,0,14,7.12,6.428571428571429,0.0,4.638285714285715
Mauricio,Midfielder,Paraguay,Brazil,1,0,140,7.09,0.6428571428571428,0.0,1.7394285714285715
Maxence Lacroix,Defender,France,France,0,0,240,6.64,0.0,0.0,1.328
Maxim De Cuyper,Defender,Belgium,Belgium,0,0,443,6.91,0.0,0.0,1.3820000000000001
Maxime Crépeau,Goalkeeper,Canada,Canada,0,0,450,6.42,0.0,0.0,1.284
Maxime Teremoana Crocombe,Goalkeeper,New Zealand,New Zealand,0,0,270,6.48,0.0,0.0,1.2960000000000003
Maximilian Beier,Forward,Germany,Germany,0,0,26,6.33,0.0,0.0,1.266
Maximiliano Javier Araújo Vilches,Defender,Uruguay,Uruguay,2,1,252,7.64,0.7142857142857143,0.35714285714285715,1.9922857142857144
Mbekezeli Mbokazi,Defender,South Africa,South Africa,0,0,360,6.91,0.0,0.0,1.3820000000000001
Mehdi Ghayedi,Forward,Iran,Iran,0,0,44,6.49,0.0,0.0,1.298
Mehdi Taremi,Forward,Iran,Iran,0,0,260,6.86,0.0,0.0,1.372
Mehdi Torabi,Forward,Iran,Iran,0,0,24,6.57,0.0,0.0,1.314
Mehmet Zeki Çelik,Defender,Turkey,Turkey,0,0,165,6.73,0.0,0.0,1.346
Memphis Depay,Forward,Netherlands,Netherlands,0,1,51,6.5,0.0,1.7647058823529411,1.8294117647058825
Merchas Doski,Defender,Iraq,Iraq,0,0,270,6.4,0.0,0.0,1.2800000000000002
Merih Demiral,Defender,Turkey,Turkey,0,0,180,7.0,0.0,0.0,1.4000000000000001
Mert Müldür,Defender,Turkey,Turkey,0,0,99,4.7,0.0,0.0,0.9400000000000001
Michael Amir Murillo,Defender,Panama,Panama,0,0,270,6.86,0.0,0.0,1.372
Michael Boxall,Defender,New Zealand,New Zealand,0,0,206,6.2,0.0,0.0,1.2400000000000002
Michael Gregoritsch,Forward,Austria,Austria,0,1,189,6.62,0.0,0.47619047619047616,1.4668571428571429
Michael Olise,Forward,France,France,0,7,650,7.64,0.0,0.9692307692307692,1.818769230769231
Michal Sadílek,Midfielder,Czech Republic,Czech Republic,1,0,183,6.96,0.49180327868852464,0.0,1.6379016393442625
Michel Aebischer,Midfielder,Switzerland,Switzerland,0,0,155,5.15,0.0,0.0,1.03
Mickey van de Ven,Defender,Netherlands,Netherlands,0,0,266,6.73,0.0,0.0,1.346
Miguel Almirón,Forward,Paraguay,Paraguay,0,0,286,6.37,0.0,0.0,1.274
Mike Maignan,Goalkeeper,France,France,0,0,720,6.68,0.0,0.0,1.336
Mikel Merino,Midfielder,Spain,Spain,2,0,163,6.86,1.1042944785276074,0.0,1.924147239263804
Mikel Oyarzabal,Forward,Spain,Spain,5,1,607,7.46,0.7413509060955519,0.14827018121911037,1.907156507413509
Milad Mohammadi,Defender,Iran,Iran,0,0,204,6.57,0.0,0.0,1.314
Miles Robinson,Defender,USMNT,USA,0,0,90,6.88,0.0,0.0,1.3760000000000001
Min-Jae Kim,Defender,South Korea,South Korea,0,0,245,6.88,0.0,0.0,1.3760000000000001
Miro Muheim,Defender,Switzerland,Switzerland,0,0,24,4.27,0.0,0.0,0.854
