player,position,club,nationality,goals,assists,minutes,rating,goals_per_90,assists_per_90,performance_score
Aaron Hickey,Defender,Scotland,Scotland,0,0,75,7.17,0.0,0.0,1.4340000000000002
Aaron Wan-Bissaka,Defender,Congo DR,England,0,0,355,6.91,0.0,0.0,1.3820000000000001
Abbosbek Fayzullayev,Forward,Uzbekistan,Uzbekistan,1,0,223,6.9,0.40358744394618834,0.0,1.5817937219730942
Abdallah Mousa Musallam Naseeb,Defender,Jordan,Jordan,0,0,261,6.61,0.0,0.0,1.322
Abdoulaye Seck,Defender,Senegal,Senegal,0,1,58,7.15,0.0,1.5517241379310345,1.8955172413793104
Abdukodir Khusanov,Defender,Uzbekistan,Uzbekistan,0,0,270,5.9,0.0,0.0,1.1800000000000002
Abdulaziz Hatem Mohammed Abdullah,Midfielder,Qatar,Qatar,0,0,44,6.62,0.0,0.0,1.324
Abdülkerim Bardakcı,Defender,Turkey,Turkey,0,0,266,7.1,0.0,0.0,1.42
Abdulla Kakhramonjon,Midfielder,Uzbekistan,Uzbekistan,0,0,180,5.43,0.0,0.0,1.086
Abdullah Al Amri,Defender,Saudi Arabia,Saudi Arabia,1,0,240,6.95,0.375,0.0,1.5775000000000001
Abdullah Al Hamdan,Forward,Saudi Arabia,Saudi Arabia,0,0,68,4.39,0.0,0.0,0.878
Abdullah Alkhaibari,Midfielder,Saudi Arabia,Saudi Arabia,0,0,182,6.55,0.0,0.0,1.31
Abduvohid Nematov,Goalkeeper,Uzbekistan,Uzbekistan,0,0,180,5.28,0.0,0.0,1.056
Achraf Hakimi,Defender,Morocco,Morocco,1,2,540,7.66,0.16666666666666666,0.3333333333333333,1.7153333333333334
Adam Hložek,Forward,Czech Republic,Czech Republic,0,0,157,6.66,0.0,0.0,1.332
Adel Boulebina,Forward,Algeria,Algeria,0,0,17,6.31,0.0,0.0,1.262
Adrien Rabiot,Midfielder,France,France,0,1,586,7.07,0.0,0.15358361774744028,1.4600750853242321
Agustín Canobbio Graviz,Forward,Uruguay,Uruguay,1,0,224,6.81,0.4017857142857143,0.0,1.5628928571428573
Ahmad Hasan,Defender,Iraq,Iraq,0,0,32,6.03,0.0,0.0,1.2060000000000002
Ahmed Aboel Fettoh,Defender,Egypt,Egypt,0,0,268,6.91,0.0,0.0,1.3820000000000001
Ahmed Alaaeldin Abdelmotaal,Forward,Qatar,Qatar,0,0,41,6.6,0.0,0.0,1.32
Ahmed Alganehi,Forward,Qatar,Qatar,0,0,34,6.75,0.0,0.0,1.35
Ahmed Basil Fadhil,Goalkeeper,Iraq,Iraq,0,0,136,6.0,0.0,0.0,1.2000000000000002
Ahmed Fathi Mansi Abdoulla,Midfielder,Qatar,Qatar,0,0,150,6.59,0.0,0.0,1.318
Ahmed Mortadha Ben Ouannes,Forward,Tunisia,Tunisia,0,0,22,6.63,0.0,0.0,1.326
Ahmed Nadir Benbouali,Forward,Algeria,Algeria,1,0,44,7.47,2.0454545454545454,0.0,2.5167272727272727
Ahmed Qasem,Forward,Iraq,Sweden,0,0,123,6.29,0.0,0.0,1.258
Aiden O'Neill,Midfielder,Australia,Australia,0,0,361,6.94,0.0,0.0,1.3880000000000001
Aimar Sher,Midfielder,Iraq,Sweden,0,0,22,6.47,0.0,0.0,1.294
Aïssa Mandi,Defender,Algeria,Algeria,0,0,360,6.76,0.0,0.0,1.352
Ajdin Hrustic,Midfielder,Australia,Australia,0,0,48,6.6,0.0,0.0,1.32
Akam Hashim Rahman,Defender,Iraq,Iraq,0,0,270,6.1,0.0,0.0,1.22
Akmal Mozgovoy,Midfielder,Uzbekistan,Uzbekistan,0,1,216,6.44,0.0,0.4166666666666667,1.4130000000000003
Akram Hassan Afif,Forward,Qatar,Qatar,0,0,239,6.91,0.0,0.0,1.3820000000000001
Alaa Hejji,Midfielder,Saudi Arabia,Saudi Arabia,0,0,30,3.33,0.0,0.0,0.666
Alan Minda,Forward,Ecuador,Ecuador,0,0,56,6.44,0.0,0.0,1.2880000000000003
Alan Steven Franco Palma,Midfielder,Ecuador,Ecuador,0,0,255,6.73,0.0,0.0,1.346
Alberto Abdiel Quintero Medina,Forward,Panama,Panama,0,0,2,0.0,0.0,0.0,0.0
Alejandro Romero Gamarra,Midfielder,Paraguay,Argentina,0,0,10,6.41,0.0,0.0,1.282
Alejandro Zendejas Saavedra,Forward,USMNT,Mexico,0,0,13,6.46,0.0,0.0,1.292
Aleksandar Pavlović,Midfielder,Germany,Germany,0,0,275,6.79,0.0,0.0,1.358
Alessandro Circati,Defender,Australia,Australia,0,0,360,7.24,0.0,0.0,1.4480000000000002
Alex Adrián Arce Barrios,Forward,Paraguay,Paraguay,0,0,51,6.53,0.0,0.0,1.306
Álex Baena,Forward,Spain,Spain,1,1,487,7.01,0.18480492813141683,0.18480492813141683,1.5498439425051336
Alex Sandro,Defender,Brazil,Brazil,0,0,8,6.4,0.0,0.0,1.2800000000000002
Alexander Bernhardsson,Forward,Sweden,Sweden,0,0,220,6.4,0.0,0.0,1.2800000000000002
Alexander Freeman,Defender,USMNT,USA,1,1,373,7.18,0.24128686327077745,0.24128686327077745,1.6290294906166218
Alexander Isak,Forward,Sweden,Sweden,1,3,359,7.39,0.25069637883008355,0.7520891364902507,1.828974930362117
Alexander Prass,Midfielder,Austria,Austria,0,0,27,6.23,0.0,0.0,1.2460000000000002
Alexander Schlager,Goalkeeper,Austria,Austria,0,0,360,6.55,0.0,0.0,1.31
Alexander Sørloth,Forward,Norway,Norway,0,0,342,6.47,0.0,0.0,1.294
Alexandr Sojka,Midfielder,Czech Republic,Czech Republic,0,1,142,6.78,0.0,0.6338028169014085,1.5461408450704226
Alexandro Maidana Mendieta,Defender,Paraguay,Paraguay,0,0,55,6.55,0.0,0.0,1.31
Alexis Mac Allister,Midfielder,Argentina,Argentina,1,1,659,7.0,0.13657056145675267,0.13657056145675267,1.5092564491654024
Alexis Saelemaekers,Midfielder,Belgium,Belgium,1,0,81,3.48,1.1111111111111112,0.0,1.2515555555555555
Ali Abdi,Defender,Tunisia,Tunisia,0,0,270,6.22,0.0,0.0,1.244
Ali Ahmad Azaizeh,Forward,Jordan,Jordan,0,0,53,4.51,0.0,0.0,0.902
Ali Ahmed,Midfielder,Canada,Canada,0,0,236,6.75,0.0,0.0,1.35
Ali Al-Hamadi,Forward,Iraq,England,0,0,181,6.69,0.0,0.0,1.338
Ali Alawjami,Defender,Saudi Arabia,Saudi Arabia,0,0,147,4.62,0.0,0.0,0.924
Ali Alipour Ghara,Forward,Iran,Iran,0,0,37,6.61,0.0,0.0,1.322
Ali Iyad Olwan,Forward,Jordan,Jordan,1,0,270,6.78,0.3333333333333333,0.0,1.5226666666666668
Ali Jasim Elaibi Al Tameemi,Forward,Iraq,Iraq,0,0,131,6.55,0.0,0.0,1.31
Ali Nemati,Defender,Iran,Iran,0,0,270,6.56,0.0,0.0,1.312
Ali Yousif Hashim,Forward,Iraq,Iraq,0,0,32,6.45,0.0,0.0,1.29
Alidu Seidu,Defender,Ghana,Ivory Coast,0,0,77,6.69,0.0,0.0,1.338
Alireza Jahanbakhsh,Forward,Iran,Iran,0,0,44,6.69,0.0,0.0,1.338
Alireza Safar Beiranvand,Goalkeeper,Iran,Iran,0,0,270,7.77,0.0,0.0,1.554
Alisson Becker,Goalkeeper,Brazil,Brazil,0,0,450,6.96,0.0,0.0,1.3920000000000001
Alistair Johnston,Defender,Canada,Canada,0,0,450,6.89,0.0,0.0,1.3780000000000001
Almoez Ali Zainalabiddin Abdulla,Forward,Qatar,Qatar,0,0,18,6.55,0.0,0.0,1.31
Alphonso Davies,Defender,Canada,Canada,0,0,15,6.07,0.0,0.0,1.2140000000000002
Amad Diallo Traoré,Forward,Ivory Coast,Ivory Coast,2,0,185,7.4,0.972972972972973,0.0,1.9664864864864868
Amadou Onana,Midfielder,Belgium,Belgium,0,0,76,6.63,0.0,0.0,1.326
Amar Dedic,Defender,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,270,6.44,0.0,0.0,1.2880000000000003
Amar Memić,Midfielder,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,223,6.4,0.0,0.0,1.2800000000000002
Amer Rasem Adel Jamous,Midfielder,Jordan,Jordan,0,0,14,6.32,0.0,0.0,1.2640000000000002
Amine Ben Hmida,Defender,Tunisia,Tunisia,0,0,202,6.39,0.0,0.0,1.278
Amine Gouiri,Forward,Algeria,France,1,0,253,6.67,0.3557312252964427,0.0,1.5118656126482215
Amir Al-Ammari,Midfielder,Iraq,Sweden,0,1,248,6.44,0.0,0.3629032258064516,1.3968709677419358
Amir Hadžiahmetović,Midfielder,Bosnia and Herzegovina,Bosnia and Herzegovina,0,1,4,6.45,0.0,22.5,8.04
Amirhossein Hosseinzadeh,Forward,Iran,Iran,0,0,15,6.6,0.0,0.0,1.32
Anass Salah-Eddine,Defender,Morocco,Netherlands,0,0,182,6.5,0.0,0.0,1.3
Andreas Schjelderup,Forward,Norway,Norway,1,3,250,7.02,0.36,1.08,1.908
Andrej Kramarić,Forward,Croatia,Croatia,0,0,56,6.53,0.0,0.0,1.306
Andres Andrade Cedeño,Defender,Panama,Panama,0,0,270,6.98,0.0,0.0,1.3960000000000001
Andrés Cubas,Midfielder,Paraguay,Argentina,0,0,450,6.89,0.0,0.0,1.3780000000000001
Andrew Robertson,Defender,Scotland,Scotland,0,0,226,6.62,0.0,0.0,1.324
Ange-Yoan Bonny,Forward,Ivory Coast,France,0,0,236,6.56,0.0,0.0,1.312
Ángelo Preciado,Defender,Ecuador,Ecuador,0,0,105,6.41,0.0,0.0,1.282
Angelo Stiller,Midfielder,Germany,Germany,0,0,44,6.58,0.0,0.0,1.316
Angus Gunn,Goalkeeper,Scotland,England,0,0,270,6.97,0.0,0.0,1.3940000000000001
Anis Ben Slimane,Midfielder,Tunisia,Denmark,0,0,242,6.48,0.0,0.0,1.2960000000000003
Anis Hadj Moussa,Forward,Algeria,France,0,0,97,6.5,0.0,0.0,1.3
Ante Budimir,Forward,Croatia,Croatia,1,0,156,6.88,0.5769230769230769,0.0,1.6644615384615387
Anthony Elanga,Forward,Sweden,Sweden,2,0,215,5.33,0.8372093023255814,0.0,1.4846046511627908
Anthony Gordon,Forward,England,England,1,3,399,6.8,0.22556390977443608,0.6766917293233082,1.6757894736842105
Anthony Ralston,Defender,Scotland,Scotland,0,0,9,3.33,0.0,0.0,0.666
Antoine Semenyo,Forward,Ghana,England,0,0,360,6.36,0.0,0.0,1.2720000000000002
Antonee Robinson,Defender,USMNT,USA,0,0,350,7.03,0.0,0.0,1.4060000000000001
Antonio Nusa,Forward,Norway,Norway,1,0,290,6.51,0.3103448275862069,0.0,1.4571724137931035
Antonio Rüdiger,Defender,Germany,Germany,0,0,261,6.73,0.0,0.0,1.346
Antonio Sanabria,Forward,Paraguay,Paraguay,0,0,53,6.53,0.0,0.0,1.306
Ao Tanaka,Midfielder,Japan,Japan,0,0,192,6.76,0.0,0.0,1.352
Arda Guler,Midfielder,Turkey,Turkey,1,0,270,7.7,0.3333333333333333,0.0,1.7066666666666668
Ardon Jasari,Midfielder,Switzerland,Switzerland,0,0,41,4.26,0.0,0.0,0.852
Aria Yousefi,Defender,Iran,Iran,0,0,46,6.76,0.0,0.0,1.352
Arjan Malic,Defender,Bosnia and Herzegovina,Slovenia,0,0,46,6.34,0.0,0.0,1.268
Armando González Alba,Forward,Mexico,Mexico,0,0,14,6.45,0.0,0.0,1.29
Armando Obispo,Defender,Curaçao,Netherlands,0,0,270,6.5,0.0,0.0,1.3
Armin Gigovic,Midfielder,Bosnia and Herzegovina,Sweden,0,0,79,6.54,0.0,0.0,1.308
Arthur Masuaku,Defender,Congo DR,Congo DR,0,1,318,6.77,0.0,0.2830188679245283,1.4389056603773587
Arthur Theate,Defender,Belgium,Belgium,0,0,197,6.94,0.0,0.0,1.3880000000000001
Assane Diao Diaoune,Forward,Senegal,Spain,0,0,9,6.55,0.0,0.0,1.31
Assim Omer Al Haj Madibo,Midfielder,Qatar,Qatar,0,0,132,6.02,0.0,0.0,1.204
Aurélien Tchouaméni,Midfielder,France,France,0,1,360,7.34,0.0,0.25,1.543
Auston Trusty,Defender,USMNT,USA,1,0,100,6.92,0.8999999999999999,0.0,1.834
Axel Tuanzebe,Defender,Congo DR,England,0,0,360,6.65,0.0,0.0,1.33
Axel Witsel,Midfielder,Belgium,Belgium,0,0,31,3.15,0.0,0.0,0.63
Ayase Ueda,Forward,Japan,Japan,2,1,324,7.23,0.5555555555555556,0.2777777777777778,1.8071111111111113
Aymen Dahmen,Goalkeeper,Tunisia,Tunisia,0,0,180,6.16,0.0,0.0,1.2320000000000002
Aymen Hussein,Forward,Iraq,Iraq,1,0,116,6.85,0.7758620689655172,0.0,1.7579310344827588
Aymeric Laporte,Defender,Spain,Spain,0,1,729,7.12,0.0,0.1234567901234568,1.4610370370370371
Ayoub Al Oui,Defender,Qatar,Qatar,0,0,150,5.97,0.0,0.0,1.194
Ayoub El Kaabi,Forward,Morocco,Morocco,0,0,70,6.83,0.0,0.0,1.366
Ayoube Amaimouni-Echghouyab,Forward,Morocco,Spain,0,0,16,6.4,0.0,0.0,1.2800000000000002
Ayumu Seko,Midfielder,Japan,Japan,0,0,86,6.54,0.0,0.0,1.308
Ayyoub Bouaddi,Midfielder,Morocco,France,0,0,384,6.74,0.0,0.0,1.348
Azarias Londoño,Forward,Panama,Panama,0,0,53,6.65,0.0,0.0,1.33
Aziz Eraltay Behich,Defender,Australia,Australia,0,0,186,6.55,0.0,0.0,1.31
Azizbek Amonov,Forward,Uzbekistan,Uzbekistan,0,0,13,6.33,0.0,0.0,1.266
Azizjon Ganiev,Midfielder,Uzbekistan,Uzbekistan,0,0,121,6.74,0.0,0.0,1.348
Azzedine Ounahi,Midfielder,Morocco,Morocco,2,0,438,7.21,0.4109589041095891,0.0,1.6474794520547946
Barış Alper Yılmaz,Forward,Turkey,Turkey,1,1,180,6.96,0.5,0.5,1.7920000000000003
Bart Verbruggen,Goalkeeper,Netherlands,Netherlands,0,0,360,6.96,0.0,0.0,1.3920000000000001
Bazoumana Touré,Forward,Ivory Coast,Ivory Coast,0,0,79,4.26,0.0,0.0,0.852
Behruz Karimov,Defender,Uzbekistan,Uzbekistan,0,0,180,6.87,0.0,0.0,1.374
Ben Doak,Forward,Scotland,Scotland,0,0,187,6.45,0.0,0.0,1.29
Benjamin Asare,Goalkeeper,Ghana,Ghana,0,0,224,7.09,0.0,0.0,1.4180000000000001
Benjamin Nygren,Midfielder,Sweden,Sweden,0,0,131,6.5,0.0,0.0,1.3
Benjamin Old,Defender,New Zealand,New Zealand,0,0,90,6.49,0.0,0.0,1.298
Benjamin Tahirovic,Midfielder,Bosnia and Herzegovina,Sweden,0,0,236,6.63,0.0,0.0,1.326
Bernardo Silva,Midfielder,Portugal,Portugal,0,0,95,6.28,0.0,0.0,1.2560000000000002
Besfort Zeneli,Midfielder,Sweden,Sweden,0,0,58,6.55,0.0,0.0,1.31
Bilal El Khannous,Midfielder,Morocco,Belgium,0,0,466,6.95,0.0,0.0,1.3900000000000001
Boualem Khoukhi,Defender,Qatar,Qatar,0,0,270,6.82,0.0,0.0,1.364
Bradley Barcola,Forward,France,France,3,1,383,7.03,0.7049608355091384,0.2349869451697128,1.8289765013054833
Brahim Diaz,Forward,Morocco,Spain,0,4,462,7.02,0.0,0.7792207792207791,1.6377662337662335
Brandon Mechele,Defender,Belgium,Belgium,0,0,540,6.95,0.0,0.0,1.3900000000000001
Brandon Thomas-Asante,Forward,Ghana,England,0,1,51,6.79,0.0,1.7647058823529411,1.8874117647058823
Breel Embolo,Forward,Switzerland,Switzerland,2,2,506,7.0,0.3557312252964427,0.3557312252964427,1.6845849802371542
Brenden Aaronson,Midfielder,USMNT,USA,0,0,77,6.28,0.0,0.0,1.2560000000000002
Brian Brobbey,Forward,Netherlands,Netherlands,3,0,225,7.27,1.2,0.0,2.054
Brian Gutierrez,Midfielder,Mexico,USA,0,0,198,6.8,0.0,0.0,1.36
Brian Kibambe Cipenga,Forward,Congo DR,Congo DR,1,0,148,6.78,0.6081081081081081,0.0,1.6600540540540543
Bruno Fernandes,Midfielder,Portugal,Portugal,0,1,423,7.24,0.0,0.2127659574468085,1.5118297872340427
Bruno Guimarães,Midfielder,Brazil,Brazil,0,4,420,7.2,0.0,0.8571428571428571,1.6971428571428573
Bukayo Saka,Forward,England,England,3,3,326,7.31,0.8282208588957055,0.8282208588957055,2.1245766871165643
Caglar Söyüncü,Defender,Turkey,Turkey,0,0,6,6.58,0.0,0.0,1.316
Caleb Marfo Yirenkyi,Midfielder,Ghana,Ghana,1,0,264,6.67,0.34090909090909094,0.0,1.5044545454545455
Callan Elliot,Defender,New Zealand,New Zealand,0,0,12,6.69,0.0,0.0,1.338
Callum McCowatt,Midfielder,New Zealand,New Zealand,0,0,160,6.46,0.0,0.0,1.292
Cameron Burgess,Defender,Australia,Australia,0,0,136,6.38,0.0,0.0,1.276
Camilo Andrés Vargas Gil,Goalkeeper,Colombia,Colombia,0,0,450,6.69,0.0,0.0,1.338
Can Yılmaz Uzun,Midfielder,Turkey,Turkey,0,0,36,6.83,0.0,0.0,1.366
Carl Starfelt,Defender,Sweden,Sweden,0,0,3,0.0,0.0,0.0,0.0
Carlens Arcus,Defender,Haiti,Haiti,0,0,146,5.93,0.0,0.0,1.186
Carlos Miguel Harvey Cesneros,Midfielder,Panama,Panama,0,0,268,6.65,0.0,0.0,1.33
Carney Chukwuemeka,Midfielder,Austria,England,0,0,80,6.25,0.0,0.0,1.25
Casemiro,Midfielder,Brazil,Brazil,1,0,381,7.18,0.23622047244094488,0.0,1.5541102362204724
Cecilio Alfonso Waterman Ruiz,Forward,Panama,Panama,0,0,76,6.62,0.0,0.0,1.324
Cédric Bakambu,Forward,Congo DR,Congo DR,0,0,193,6.57,0.0,0.0,1.314
Cédric Itten,Forward,Switzerland,Switzerland,0,0,9,4.34,0.0,0.0,0.868
Cesar Blackman,Defender,Panama,Panama,0,0,180,6.5,0.0,0.0,1.3
César Montes,Defender,Mexico,Mexico,0,0,316,6.85,0.0,0.0,1.37
César Saúl Huerta Valera,Forward,Mexico,Mexico,0,0,6,6.61,0.0,0.0,1.322
Chadi Riad,Defender,Morocco,Morocco,0,1,345,6.78,0.0,0.2608695652173913,1.4342608695652175
Chancel Mbemba,Defender,Congo DR,Congo DR,0,1,360,6.8,0.0,0.25,1.435
Charles De Ketelaere,Midfielder,Belgium,Belgium,3,1,354,7.35,0.7627118644067797,0.2542372881355932,1.9276271186440677
Charles Pickel,Midfielder,Congo DR,Switzerland,0,0,34,6.53,0.0,0.0,1.306
Che Adams,Forward,Scotland,Scotland,0,0,146,4.39,0.0,0.0,0.878
Cheikh Bamba Dieng,Forward,Senegal,France,0,0,7,6.41,0.0,0.0,1.282
Chemsdine Talbi,Forward,Morocco,Belgium,0,1,146,6.72,0.0,0.6164383561643836,1.5289315068493152
Chris Richards,Defender,USMNT,USA,0,0,360,6.88,0.0,0.0,1.3760000000000001
Chris Wood,Forward,New Zealand,New Zealand,0,2,270,6.98,0.0,0.6666666666666666,1.596
Christ Ravynel Inao Oulaï,Midfielder,Ivory Coast,Ivory Coast,0,0,207,7.01,0.0,0.0,1.4020000000000001
Christian Fassnacht,Midfielder,Switzerland,Switzerland,0,0,5,6.46,0.0,0.0,1.292
Christian Jesús Martinez,Midfielder,Panama,Panama,0,0,243,6.66,0.0,0.0,1.332
Christian Pulisic,Forward,USMNT,USA,0,1,225,6.71,0.0,0.4,1.4620000000000002
Christopher Operi,Defender,Ivory Coast,France,0,0,90,7.0,0.0,0.0,1.4000000000000001
Cody Gakpo,Forward,Netherlands,Netherlands,3,1,372,7.39,0.7258064516129031,0.24193548387096772,1.9134838709677418
Connor Metcalfe,Midfielder,Australia,Australia,1,0,315,6.95,0.2857142857142857,0.0,1.532857142857143
Cristian Romero,Defender,Argentina,Argentina,1,0,583,7.01,0.15437392795883362,0.0,1.4791869639794168
Cristian Volpato,Midfielder,Australia,Italy,0,0,161,7.01,0.0,0.0,1.4020000000000001
Cristiano Ronaldo,Forward,Portugal,Portugal,3,0,441,7.38,0.6122448979591836,0.0,1.7821224489795917
Crysencio Summerville,Forward,Netherlands,Netherlands,2,2,222,7.26,0.8108108108108107,0.8108108108108107,2.1006486486486486
Cucho Hernández,Forward,Colombia,Colombia,0,1,18,6.79,0.0,5.0,2.858
Cyle Larin,Forward,Canada,Canada,2,0,189,6.85,0.9523809523809523,0.0,1.8461904761904764
Daichi Kamada,Midfielder,Japan,Japan,2,0,331,7.12,0.5438066465256798,0.0,1.69590332326284
Dailon Rocha Livramento do Rosario,Forward,Cape Verde Islands,Netherlands,0,0,145,6.52,0.0,0.0,1.304
Daizen Maeda,Forward,Japan,Japan,1,0,246,6.81,0.36585365853658536,0.0,1.5449268292682927
Damián Bobadilla,Midfielder,Paraguay,Paraguay,0,0,189,4.88,0.0,0.0,0.976
Dan Burn,Defender,England,England,0,0,2,6.47,0.0,0.0,1.294
Dan Ndoye,Forward,Switzerland,Switzerland,2,0,409,7.16,0.4400977995110025,0.0,1.6520488997555014
Dani Olmo,Midfielder,Spain,Spain,0,2,495,7.05,0.0,0.36363636363636365,1.5190909090909093
Daniel Muñoz,Defender,Colombia,Colombia,2,0,363,7.17,0.49586776859504134,0.0,1.6819338842975209
Daniel Svensson,Defender,Sweden,Sweden,0,0,97,4.19,0.0,0.0,0.8380000000000001
Danilo,Defender,Brazil,Brazil,0,0,404,6.7,0.0,0.0,1.34
Danilo Oliveira,Midfielder,Brazil,Brazil,0,0,42,4.96,0.0,0.0,0.992
Danley Jean Jacques,Midfielder,Haiti,Haiti,0,0,260,6.73,0.0,0.0,1.346
Darwin Núñez,Forward,Uruguay,Uruguay,0,0,156,6.61,0.0,0.0,1.322
David Alaba,Defender,Austria,Austria,0,1,278,6.88,0.0,0.3237410071942446,1.4731223021582736
David Doudera,Midfielder,Czech Republic,Czech Republic,0,0,90,6.99,0.0,0.0,1.3980000000000001
David Møller Wolfe,Defender,Norway,Norway,0,1,433,6.63,0.0,0.20785219399538107,1.3883556581986143
David Raum,Defender,Germany,Germany,0,0,107,6.61,0.0,0.0,1.322
David Zima,Defender,Czech Republic,Czech Republic,0,0,12,6.48,0.0,0.0,1.2960000000000003
Davinson Sánchez,Defender,Colombia,Colombia,0,0,450,7.33,0.0,0.0,1.4660000000000002
Dayot Upamecano,Defender,France,France,0,1,660,7.12,0.0,0.13636363636363638,1.4649090909090912
Dean Henderson,Goalkeeper,England,England,0,0,90,6.59,0.0,0.0,1.318
Declan Rice,Midfielder,England,England,1,2,560,7.4,0.1607142857142857,0.3214285714285714,1.6567857142857145
Deiver Machado,Defender,Colombia,Colombia,0,0,90,7.02,0.0,0.0,1.404
Denis Višinský,Midfielder,Czech Republic,Czech Republic,0,0,56,6.86,0.0,0.0,1.372
Denis Zakaria,Midfielder,Switzerland,Switzerland,0,0,360,7.02,0.0,0.0,1.404
Deniz Gül,Forward,Turkey,Sweden,0,0,35,6.24,0.0,0.0,1.2480000000000002
Deniz Undav,Forward,Germany,Germany,3,2,149,7.61,1.8120805369127517,1.2080536912751678,2.7904563758389265
Dennis Hadzikadunic,Defender,Bosnia and Herzegovina,Bosnia and Herzegovina,0,1,27,6.93,0.0,3.3333333333333335,2.386
Denzel Dumfries,Defender,Netherlands,Aruba,0,2,360,7.04,0.0,0.5,1.558
Derek Cornelius,Defender,Canada,Canada,0,0,316,6.62,0.0,0.0,1.324
Deroy Duarte,Midfielder,Cape Verde Islands,Netherlands,1,0,263,7.05,0.3422053231939164,0.0,1.5811026615969583
Derrick Etienne Jr.,Forward,Haiti,Haiti,0,0,9,6.67,0.0,0.0,1.334
Derrick Luckassen,Defender,Ghana,Netherlands,1,0,180,6.88,0.5,0.0,1.6260000000000001
Désiré Doué,Forward,France,France,1,1,399,6.91,0.22556390977443608,0.22556390977443608,1.562451127819549
Deveron Fonville,Defender,Curaçao,Netherlands,0,0,243,6.29,0.0,0.0,1.258
Diego Gómez,Midfielder,Paraguay,Paraguay,0,0,308,6.65,0.0,0.0,1.33
Diego Moreira,Midfielder,Belgium,Portugal,0,0,27,6.56,0.0,0.0,1.312
Diogo Costa,Goalkeeper,Portugal,Portugal,0,0,450,7.62,0.0,0.0,1.524
Diogo Dalot,Defender,Portugal,Portugal,0,0,63,6.58,0.0,0.0,1.316
Djamshid Iskandarov,Midfielder,Uzbekistan,Uzbekistan,0,0,8,6.29,0.0,0.0,1.258
Djed Spence,Defender,England,England,0,0,373,6.74,0.0,0.0,1.348
Djibril Sow,Midfielder,Switzerland,Switzerland,0,0,223,6.76,0.0,0.0,1.352
Dodi Lukebakio,Forward,Belgium,Belgium,0,0,133,6.92,0.0,0.0,1.3840000000000001
Dominik Livaković,Goalkeeper,Croatia,Croatia,0,0,360,6.79,0.0,0.0,1.358
Dominique Simon,Midfielder,Haiti,France,0,0,54,6.71,0.0,0.0,1.342
Donyell Malen,Forward,Netherlands,Netherlands,0,0,188,6.81,0.0,0.0,1.362
Dostonbek Khamdamov,Forward,Uzbekistan,Uzbekistan,0,0,103,6.68,0.0,0.0,1.336
Douglas Santos,Defender,Brazil,Brazil,0,0,442,7.02,0.0,0.0,1.404
Duckens Nazon,Forward,Haiti,Haiti,0,0,23,6.66,0.0,0.0,1.332
Dylan Bronn,Defender,Tunisia,Tunisia,0,0,46,6.26,0.0,0.0,1.252
Dzenis Burnic,Midfielder,Bosnia and Herzegovina,Germany,0,0,14,6.54,0.0,0.0,1.308
Eberechi Eze,Midfielder,England,England,0,1,178,6.81,0.0,0.5056179775280899,1.513685393258427
Éderson,Midfielder,Brazil,Brazil,0,0,20,6.23,0.0,0.0,1.2460000000000002
Edgar Yoel Bárcenas Herrera,Forward,Panama,Panama,0,0,251,6.76,0.0,0.0,1.352
Edilson Alberto Monteiro Sanches Borges,Defender,Cape Verde Islands,Cape Verde,0,0,360,7.1,0.0,0.0,1.42
Edin Džeko,Forward,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,179,6.59,0.0,0.0,1.318
Edmilson Junior Paulo da Silva,Forward,Qatar,Brazil,0,1,213,6.67,0.0,0.4225352112676056,1.4607605633802818
Edo Kayembe,Midfielder,Congo DR,Congo DR,0,0,160,6.59,0.0,0.0,1.318
Edouard Mendy,Goalkeeper,Senegal,Senegal,0,0,153,6.66,0.0,0.0,1.332
Edson Álvarez,Midfielder,Mexico,Mexico,0,0,238,6.92,0.0,0.0,1.3840000000000001
Egil Selvik,Goalkeeper,Norway,Norway,0,0,90,6.79,0.0,0.0,1.358
Ehsan Hajsafi,Defender,Iran,Iran,0,0,91,6.46,0.0,0.0,1.292
Ehsan Manel Farhan Haddad,Defender,Jordan,Jordan,0,1,261,6.59,0.0,0.3448275862068966,1.421448275862069
El Hadji Malick Diouf,Defender,Senegal,Senegal,0,0,140,6.38,0.0,0.0,1.276
El Hashmi El Hussain Mohi aldin,Defender,Qatar,Qatar,0,0,31,6.24,0.0,0.0,1.2480000000000002
Eldor Shomurodov,Forward,Uzbekistan,Uzbekistan,1,0,270,6.98,0.3333333333333333,0.0,1.5626666666666669
Elia Meschack,Forward,Congo DR,Congo DR,0,1,44,6.8,0.0,2.0454545454545454,1.9736363636363636
Elias Achouri,Forward,Tunisia,Tunisia,0,0,40,4.36,0.0,0.0,0.8720000000000001
Elias Saad,Forward,Tunisia,Tunisia,0,0,118,6.36,0.0,0.0,1.2720000000000002
Elijah Henry Just,Forward,New Zealand,New Zealand,3,0,265,7.24,1.0188679245283019,0.0,1.957433962264151
Elisha Owusu,Midfielder,Ghana,France,0,0,152,6.58,0.0,0.0,1.316
Elliot Anderson,Midfielder,England,Scotland,0,1,604,7.13,0.0,0.14900662251655628,1.470701986754967
